,Title,Year,Summary,Short Summary,Genres,IMDB ID,Runtime,YouTube Trailer,Rating,Movie Poster,Director,Writers,Cast
37,The Post,2017,"When American military analyst, Daniel Ellsberg, realizes to his disgust the depths of the US government's deceptions about the futility of the Vietnam War, he takes action by copying top-secret documents that would become the Pentagon Papers. Later, Washington Post owner, Kay Graham, is still adjusting to taking over her late husband's business when editor Ben Bradlee discovers the New York Times has scooped them with an explosive expose on those papers. Determined to compete, Post reporters find Ellsberg himself and a complete copy of those papers. However, the Post's plans to publish their findings are put in jeopardy with a Federal restraining order that could get them all indicted for Contempt. Now, Kay Graham must decide whether to back down for the safety of her paper or publish and fight for the Freedom of the Press. In doing so, Graham and her staff join a fight that would have America's democratic ideals in the balance.",A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between the press and the government.,Biography|Drama|History|Thriller,tt6294822,116,nrXlY6gzTTM,7.2,https://hydramovies.com/wp-content/uploads/2018/04/The-Post-Movie-Poster.jpg,Steven Spielberg,Liz Hannah,Meryl Streep|Sarah Paulson|Tom Hanks
38,The Anthem of the Heart,2017,"Takumi is on his class' community outreach group. His teacher assigns more students to the group including a student who, due to a mishap, has foregone speaking. The class has to perform a musical, but volunteers brave enough to perform are hard to come by. The reluctance slowly begins to wash away when the aforementioned girl makes an effort to perform. As the day of the performance approaches will the students be able to overcome their reluctance and go for it?","Takumi is on his class' community outreach group. His teacher assigns more students to the group including a student who, due to a mishap, has foregone speaking. The class has to perform a ...",Drama|Family,tt6738046,119,EnbgMjdguxI,6.2,https://hydramovies.com/wp-content/uploads/2018/04/The-Anthem-of-the-Heart-Movie-Poster.jpg,Naoto Kumazawa,Yukiko Manabe,Anna Ishii|Tsunaki Fukushima|Yoshiyoshi Arakawa
39,My Teacher,2017,"Hibiki is an awkward, 17-year-old high school sophomore who hasn't known romance. But she's about to fall in love for the very first time. With whom? A man who isn't great with words, but compassionate about his students. It's her history teacher, Mr. Ito. ""Is it okay if I fall for you?"" Hibiki asks. ""I'm afraid I can't return those feelings,"" is Ito's reply. Hibiki's first love crashes before takeoff. But it doesn't matter. ""Still I want to cherish my crush anyway."" A teacher's heart begins to turn by a student's pure love.","Hibiki is an awkward, 17-year-old high school sophomore who hasn't known romance. But she's about to fall in love for the very first time. With whom? A man who isn't great with words, but ...",Drama|Romance,tt6190198,113,HpYqkdn2ilU,6.0,https://hydramovies.com/wp-content/uploads/2018/04/My-Teacher-Movie-Poster.jpg,Takahiro Miki,Kazune Kawahara,Manami Higa|Suzu Hirose|Tôma Ikuta
40,You Were Never Really Here,2017,"Balancing between feverish dreamlike hallucinations of a tormented past and a grim disoriented reality, the grizzled Joe--a traumatised Gulf War veteran and now an unflinching hired gun who lives with his frail elderly mother--has just finished successfully yet another job. With an infernal reputation of being a brutal man of results, the specialised in recovering missing teens enforcer will embark on a blood-drenched rescue mission, when Nina, the innocent 13-year-old daughter of an ambitious New York senator, never returns home. But amidst half-baked leads and a desperate desire to shake off his shoulders the heavy burden of a personal hell, Joe's frenzied plummet into the depths of Tartarus is inevitable, and every step Joe takes to flee the pain, brings him closer to the horrors of insanity. In the end, what is real, and what is a dream? Can there be a new chapter in Joe's life when he keeps running around in circles?","A traumatized veteran, unafraid of violence, tracks down missing girls for a living. When a job spins out of control, Joe's nightmares overtake him as a conspiracy is uncovered leading to what may be his death trip or his awakening.",Drama|Mystery|Thriller,tt5742374,89,yMqsd7Umxy8,7.1,https://hydramovies.com/wp-content/uploads/2018/04/You-Were-Never-Really-Here-Movie-Poster.jpg,Lynne Ramsay,Lynne Ramsay,Ekaterina Samsonov|Joaquin Phoenix|Judith Roberts
41,Petals on the Wind,2014,"A decade after Cathy, Christopher, and Carrie escaped from their grandparents' attic at Foxworth Hall, Petals on the Wind continues to follow the twisted plight of the family as they attempt to put their sordid past behind them, but soon discover certain secrets can't be left behind. When Cathy finds herself in an abusive relationship with a fellow dancer, Julian, Christopher and Cathy are forced to face the forbidden feelings they developed for one another while coming of age during captivity. But when tragedy strikes the Dollangangers once again, Cathy returns to Foxworth Hall to confront her grandmother and seek revenge on her mother with a plan to seduce her husband Bart. When Christopher runs to Cathy's side, the two are determined to start over again - together.","A decade after Cathy, Christopher, and Carrie escaped from their grandparents' attic at Foxworth Hall, Petals on the Wind continues to follow the twisted plight of the family as they ...",Drama|Horror|Romance|Thriller,tt3496892,85,X8b86Bgrk0w,6.3,https://hydramovies.com/wp-content/uploads/2018/04/Petals-on-the-Wind-Movie-Poster.jpg,Karen Moncrieff,Virginia C. Andrews,Heather Graham|Rose McIver|Wyatt Nash
42,Jesus Christ Superstar Live in Concert,2018,A live musical recounting the final days of Jesus Christ and those around him.,A live musical recounting the final days of Jesus Christ and those around him.,Musical,tt6874964,99,mPbb4BDirHA,8.0,https://hydramovies.com/wp-content/uploads/2018/04/Jesus-Christ-Superstar-Live-in-Concert-Movie-Poster.jpg,David Leveaux,Tim Rice,Alice Cooper|Ben Daniels|Sara Bareilles
43,Dare to Be Wild,2015,Irishwoman Mary Reynold's journey from rank outsider to winner of a Gold Medal at the Chelsea Flower Show.,Irishwoman Mary Reynold's journey from rank outsider to winner of a Gold Medal at the Chelsea Flower Show.,Biography|Drama|Romance,tt2989350,100,12lF4c06yEY,6.4,https://hydramovies.com/wp-content/uploads/2018/04/Dare-to-Be-Wild-Movie-Poster.jpg,Vivienne De Courcy,Vivienne De Courcy,Alex Macqueen|Emma Greenwell|Tom Hughes
44,Being Julia,2004,"1938. Julia Lambert and Michael Gosselyn are the royal couple of the London theater scene, Julia an actress and Michael a former actor who took over running the theater and its troupe upon the passing of their mentor, Jimmie Langton. Jimmie is still constantly with Julia in spirit as she navigates through life. Besides their work, Julia and Michael lead largely separate lives, they long ago having stopped a sexual relationship. Julia of late has been feeling disenchanted with her life, she not wanting to admit it's because she is approaching middle age. Her disenchantment manifests itself in wanting Michael to close their current production early so that she can recharge her juices, something he is reluctant to do if only for not wanting to let the theater sit empty. What Julia ends up doing instead is embarking on an affair with Tom Fennel, an adoring young American who is young enough to be her son. As Julia and Tom's relationship progresses, the more she falls in love with him and ...","Set in '30s London, the film involves stage actors and their experiences with love and revenge.",Comedy|Drama|Romance,tt0340012,104,quzIsJq7t08,7.0,https://hydramovies.com/wp-content/uploads/2018/04/Being-Julia-Movie-Poster.jpg,István Szabó,W. Somerset Maugham,Annette Bening|Maury Chaykin|Michael Gambon
45,Trouble Is My Business,2018,"Los Angeles in 1947, everything should be sunny, but the smog creates a fog, a haze that permeates not just the lungs, but the psyches. Private eye Roland Drake cracks cases and romances femme fatales, while corrupt cops rule the underworld of the city and moral lines are anything but black and white. A dark, hard-boiled tale of love and betrayal, told in the classic style of film noir. Drake has fallen on hard times in a harsh world. He has been evicted from his office and disgraced by a missing persons case. Ruined in the public eye and with the police. it seems like it's all over for Roland Drake. Then, redemption walks in - with curves. The owner of those curves is a sexy, dark haired beauty named Katherine Montemar. She wants his help. The chemistry is immediate and her concern for the disappearance of her family members pulls him into her case - and into bed. He wakes up to her missing too, and a pool of blood where she used to be. After a nervous encounter with the equally ...",Detective Roland Drake falls for two sisters from the Montemar family. One woman is dead and the other wants to kill him.,Action|Adventure|Crime|Mystery|Thriller,tt2243900,116,SqUEOsQf6hM,6.1,https://hydramovies.com/wp-content/uploads/2018/04/Trouble-Is-My-Business-Movie-Poster.jpg,Tom Konkle,Tom Konkle,Brittney Powell|Tom Konkle|Vernon Wells
46,Outside In,2017,An ex-con struggling to readjust to life in his small town forms an intense bond with his former high school teacher.,An ex-con struggling to readjust to life in his small town forms an intense bond with his former high school teacher.,Drama,tt7260048,109,s0SdJfplC80,6.4,https://hydramovies.com/wp-content/uploads/2018/04/Outside-In-Movie-Poster.jpg,Lynn Shelton,Lynn Shelton,Edie Falco|Jay Duplass|Kaitlyn Dever
47,Froning: The Fittest Man in History,2015,"Rich Froning Jr. is a legend in CrossFit and the Sport of Fitness. In this biopic, take a look at his childhood, follow his quest for a fourth CrossFit Games title, and see him as a son, a husband and a new father.","Rich Froning Jr. is a legend in CrossFit and the Sport of Fitness. In this biopic, take a look at his childhood, follow his quest for a fourth CrossFit Games title, and see him as a son, a husband and a new father.",Documentary,tt5079382,99,D1ze-f7jS2A,6.7,https://hydramovies.com/wp-content/uploads/2018/04/Froning-The-Fittest-Man-in-History-Movie-Poster.jpg,Heber Cannon,Heber Cannon,Dan Bailey|Rich Froning
48,Elizabethtown,2005,"After causing a loss of almost one billion dollars in his company, the shoe designer Drew Baylor decides to commit suicide. However, in the exact moment of his act of despair, he receives a phone call from his sister telling him that his beloved father had just died in Elizabethtown, and he should bring him back since his mother had problem with the relatives of his father. He travels in an empty red eye flight and meets the attendant Claire Colburn, who changes his view and perspective of life.","During a hometown memorial for his Kentucky-born father, a young man begins an unexpected romance with a too-good-to-be-true stewardess.",Comedy|Drama|Romance,tt0368709,123,qyPq2BS8Ug0,6.4,https://hydramovies.com/wp-content/uploads/2018/04/Elizabethtown-Movie-Poster.jpg,Cameron Crowe,Cameron Crowe,Kirsten Dunst|Orlando Bloom|Susan Sarandon
49,The Other Side of Heaven,2001,"John H. Groberg, a middle class kid from Idaho Falls, crosses the Pacific to become a Mormon missionary in the remote and exotic Tongan island kingdom during the 1950's. He leaves behind a loving family and the true love of his life, Jean. Through letters and musings across the miles, John shares his humbling and sometimes hilarious adventures with ""the girl back home"", and her letters buoy up his spirits in difficult times. John must struggle to overcome language barriers, physical hardship and deep-rooted suspicion to earn the trust and love of the Tongan people he has come to serve. Throughout his adventure-filled three years on the islands, he discovers friends and wisdom in the most unlikely places. John H. Groberg's Tongan odyssey will change his life forever.","John Groberg, a farm kid from Idaho Falls, crosses an ocean to become a missionary in the remote and exotic Tongan islands during the 1950s.",Adventure|Biography|Drama,tt0250371,113,5dKsHYzIoUI,6.5,https://hydramovies.com/wp-content/uploads/2018/04/The-Other-Side-of-Heaven-Movie-Poster.jpg,Mitch Davis,Mitch Davis,Anne Hathaway|Christopher Gorham|Joe Folau
50,Sons of Ben,2016,"After many rumors of an MLS team arriving in Philadelphia never materializing, a small group of soccer fans took matters into their own hands and started a supporters group called the Sons of Ben to help bring a team to their hometown. They were a group without a team to root for and had a modest goal of reaching 100 members by the end of the year. Little did they know they would reach over 1,500 members in less time than that and start a movement that would not only change the soccer landscape in Philadelphia forever, but also help revive a community that had been struggling for decades.","After many rumors of an MLS team arriving in Philadelphia never materializing, a small group of soccer fans took matters into their own hands and started a supporters group called the Sons ...",Biography|Documentary|Sport,tt2317088,75,m8I_pgCaRsM,7.8,https://hydramovies.com/wp-content/uploads/2018/04/Sons-of-Ben-Movie-Poster.jpg,Jeffrey C. Bell,Jeffrey C. Bell,Corey Furlan|Don Garber|Wendell N. Butler
51,12 Strong,2018,"The True Story of the Army's Special Forces ""Green Berets"", who within weeks responded to the 9-11 attack. Green Berets, with the help of the 160th SOAR(A), took over the country and allowed other Special Forces and the rest of the conventional military to begin the more publicly visible war.","12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.",Action|Drama|History|War,tt1413492,130,-Denciie5oA,6.7,https://hydramovies.com/wp-content/uploads/2018/04/12-Strong-Movie-Poster.jpg,Nicolai Fuglsig,Ted Tally,Chris Hemsworth|Michael Shannon
52,The Commuter,2018,"Now a hard-working life insurance salesman and a caring family man, the former police officer, Michael MacCauley, has taken the commuter rail to New York for the past ten years. But, unexpectedly, things will take a turn for the worse, when on one of his daily journeys, the cryptic passenger, Joanna, makes Michael a generous and tempting offer to locate a single commuter or face grave consequences. Is this a sick joke, or is this indeed a serious situation? As Michael races against the clock to solve this wicked conundrum, everyone aboard is a suspect, in a deal where there's definitely more than meets the eye. Can he decide in time who's the one?",An Insurance Salesman/Ex-Cop is caught up in a criminal conspiracy during his daily commute home.,Action|Crime|Drama|Mystery|Thriller,tt1590193,105,WWexI9YiLSc,6.3,https://hydramovies.com/wp-content/uploads/2018/04/The-Commuter-Movie-Poster.jpg,Jaume Collet-Serra,Byron Willinger,Liam Neeson|Vera Farmiga
53,Birdshot,2016,"""Birdshot"" is a mystery-thriller film that tells a story of a young Filipina farm girl who wanders into the boundaries of a Philippine reservation forest. Deep within the reservation she mistakenly shoots and kills a critically endangered and protected Philippine Eagle. As the local authorities begin a manhunt to track down the poacher of a national bird, their investigation leads them to an even more horrific discovery.",&quot;Birdshot&quot; is a mystery-thriller film that tells a story of a young Filipina farm girl who wanders into the boundaries of a Philippine reservation forest. Deep within the reservation she ...,Drama|Mystery|Thriller,tt6135042,116,7k8h_X3GjgM,6.8,https://hydramovies.com/wp-content/uploads/2018/04/Birdshot-Movie-Poster.jpg,Mikhail Red,Mikhail Red,Arnold Reyes|John Arcilla|Mary Joy Apostol
54,May,2002,"When May was a child, she was a lonely girl with a lazy eye and without any friends except a weird and ugly doll kept in a glass case given by her bizarre mother on her birthday. May becomes a lonely, weird young woman, working in an animal hospital and assisting the veterinarian in surgeries and sewing operated animals most of the time. Her lesbian colleague Polly has a sort of attraction for her. When the shy May meets the mechanic Adam Stubbs, she loves his hands and has a crush on him. They date, but the weirdness and bizarre behavior of May pushes Adam away from her. Alone, May has a brief affair with Polly, but she feels rejected again when her colleague meets Ambrosia. When her doll is accidentally broken, the deranged May decides to build a friend for her, using the best parts her acquaintances can offer.",A lonely young woman traumatized by a difficult childhood and her increasingly desperate attempts to connect with the people around her is sent into a murderous tailspin.,Drama|Horror,tt0303361,93,YbN_uoGQysc,6.7,https://hydramovies.com/wp-content/uploads/2018/04/May-Movie-Poster.jpg,Lucky McKee,Lucky McKee,Angela Bettis|Anna Faris|Jeremy Sisto
55,The China Hustle,2017,"An unsettling and eye-opening Wall Street horror story about Chinese companies, the American stock market, and the opportunistic greed behind the biggest heist you've never heard of.","An unsettling and eye-opening Wall Street horror story about Chinese companies, the American stock market, and the opportunistic greed behind the biggest heist you've never heard of.",Documentary,tt7215388,82,55892jT06aI,6.8,https://hydramovies.com/wp-content/uploads/2018/04/The-China-Hustle-Movie-Poster.jpg,Jed Rothstein,Jed Rothstein,Carson Block|Dan David|Matthew Wiechert
56,The Lost Brother,2017,"Cetarti, a public employee who has just been fired, travels from Buenos Aires to Lapachito, a lonely town in the Chaco province. He must take care of the corpses of his mother and brother who have been brutally murdered, and with whom no bond of affection binds him. The only thing that mobilizes Cetarti to undertake the trip is the possibility of charging a modest life insurance to be able to settle in Brazil. There he meets Duarte, a sort of town capo and friend of his mother's murderer, with whom he establishes a strange society to manage and collect that money.","Cetarti, a public employee who has just been fired, travels from Buenos Aires to Lapachito, a lonely town in the Chaco province. He must take care of the corpses of his mother and brother ...",Crime|Drama|Thriller,tt6522634,112,1DNXCdWZuHs,6.7,https://hydramovies.com/wp-content/uploads/2018/04/The-Lost-Brother-Movie-Poster.jpg,Israel Adrián Caetano,Israel Adrián Caetano,Daniel Hendler|Leonardo Sbaraglia
57,The Redeemed and the Dominant: Fittest on Earth,2018,"In 2017 the fittest athletes on Earth took on the unknown and unknowable during four of the most intense days of competition in CrossFit Games history. ""The Redeemed and the Dominant: Fittest on Earth "" captures all the drama as top athletes resembling chiseled Grecian gods descend on Madison, Wisconsin, to face a series of trials. Hercules faced 12; they take on 13. Emotions run high as a throng of Australian athletes rise to the top. By the end of the competition, some learn tough lessons-that all that glitters isn't gold, or even bronze-and some learn that they're even stronger than they realized. The best among them enter the pantheon of CrossFit giants and earn the right to call themselves the ""Fittest on Earth.""",In 2017 the fittest athletes on Earth took on the unknown and unknowable during four of the most intense days of competition in CrossFit Games history. &quot;The Redeemed and the Dominant: ...,Documentary,tt8144778,119,rlZ5MG-E2Ls,7.1,https://hydramovies.com/wp-content/uploads/2018/04/The-Redeemed-and-the-Dominant-Fittest-on-Earth-Movie-Poster.jpg,Heber Cannon,Heber Cannon,Dave Castro|Justin Bergh
58,First Match,2018,"Hardened by years in foster care, a teenage girl from Brooklyn's Brownsville neighborhood decides that joining the boys wrestling team is the only way back to her estranged father.","Hardened by years in foster care, a teenage girl from Brooklyn's Brownsville neighborhood decides that joining the boys wrestling team is the only way back to her estranged father.",Drama|Sport,tt6061074,102,Xva2FWNdcD0,6.1,https://hydramovies.com/wp-content/uploads/2018/04/First-Match-Movie-Poster.jpg,Olivia Newman,Olivia Newman,Colman Domingo|Elvire Emanuelle|Yahya Abdul-Mateen II
59,Re: Born,2016,A legend covert soldier with a mysterious past now decides to once again unleash his beast inside of him to stand up for what he cares about.,A legend covert soldier with a mysterious past now decides to once again unleash his beast inside of him to stand up for what he cares about.,Action|Crime|Drama|War,tt5678110,115,uxM6vsMNwXs,6.0,https://hydramovies.com/wp-content/uploads/2018/04/Re-Born-Movie-Poster.jpg,Yûji Shimomura,Tak Sakaguchi,Takumi Saitoh
60,A Moving Romance,2017,"Interior designer Olivia Wilson loses her job in New York. With newfound time on her hands she decides to head home to California to surprise her dad, Neil for the 25th anniversary of the family business, Wilson Family Movers. Upon arrival she meets the newest member of the Wilson team, Scott. With business coming to a halt, she and Scott work together to get things back on track. Just as the two begin to form a bond, Olivia is faced with a difficult decision when a worthwhile job opportunity pops up back in New York.","After inheriting her family's moving company, a young woman (Ambyr Childers) starts to clash with the manager (Keegan Allen) who thought he was going to take over.",Family,tt5039242,90,,6.1,https://hydramovies.com/wp-content/uploads/2018/04/A-Moving-Romance-Movie-Poster.jpg,W.D. Hogan,Alex Greenfield,Ambyr Childers|Keegan Allen
61,Happy End,2017,"Gradually succumbing to dementia, George Laurent, the octogenarian patriarch of the Laurents, an affluent upper-bourgeois family, is uncomfortably sharing his palatial manor in Calais, the heart of the infamous migrant jungle, with his twice-married son, Thomas, and Anne, his workaholic daughter who has taken over the family construction business. Divorced and frigid, Anne has to handle the impact of a disastrous workplace accident caused by her disappointing son Pierre's negligence, while at the same time, the urgent hospitalisation of Thomas' ex-wife from a mysterious poisoning, leads his sulky 13-year-old daughter, Ève, to live with her father and his new wife, Anais. Undoubtedly, in this family, everyone has a skeleton in the closet, and as the fates of the Laurents enmesh with insistent and ignoble desires, a peculiar and disturbing alliance will form. But in the end, some secrets are bigger than others.",A drama about a family set in Calais with the European refugee crisis as the backdrop.,Drama,tt5304464,107,cZ1ajZRn8YM,6.9,https://hydramovies.com/wp-content/uploads/2018/04/Happy-End-Movie-Poster.jpg,Michael Haneke,Michael Haneke,Isabelle Huppert|Jean-Louis Trintignant|Mathieu Kassovitz
62,After the Storm,2016,"Dwelling on his past glory as a prize-winning author, Ryota (Hiroshi Abe) wastes the money he makes as a private detective on gambling and can barely pay child support. After the death of his father, his aging mother (Kirin Kiki) and beautiful ex-wife (Yoko Make) seem to be moving on with their lives. Renewing contact with his initially distrusting family, Ryota struggles to take back control of his existence and to find a lasting place in the life of his young son (Taiyo Yoshizawa) - until a stormy summer night offers them a chance to truly bond again.","After the death of his father, a private detective struggles to find child support money and reconnect with his son and ex-wife.",Comedy|Drama,tt5294966,118,i0lr6hfRG9s,7.4,https://hydramovies.com/wp-content/uploads/2018/04/After-the-Storm-Movie-Poster.jpg,Hirokazu Koreeda,Hirokazu Koreeda,Hiroshi Abe|Satomi Kobayashi|Yôko Maki
63,Mary and the Witch's Flower,2017,"Mary is an ordinary young girl stuck in the country with her Great-Aunt Charlotte and seemingly no adventures or friends in sight. She follows a mysterious cat into the nearby forest, where she discovers an old broomstick and the strange Fly-by-Night flower, a rare plant that blossoms only once every seven years and only in that forest. Together the flower and the broomstick whisk Mary above the clouds and far away to Endor College - a school of magic run by headmistress Madam Mumblechook and the brilliant Doctor Dee. But there are terrible things happening at the school, and, when Mary tells a lie, she must risk her life to try to set things right. Based on Mary Stewart's 1971 classic children's book ""The Little Broomstick"", ""Mary and The Witch's Flower"" is an action-packed film full of jaw-dropping imaginative worlds, ingenious characters, and the stirring, heartfelt story of a young girl trying to find a place in the world. Featuring the voices of Ruby Barnhill and Academy ...","Based on &quot;The Little Broomstick&quot; by Mary Stewart, a strange flower grants a girl magic powers.",Adventure|Animation|Family|Fantasy,tt6336356,102,888z3ku4t3I,6.8,https://hydramovies.com/wp-content/uploads/2018/04/Mary-and-the-Witchs-Flower-Movie-Poster.jpg,Hiromasa Yonebayashi,Mary Stewart,Hana Sugisaki|Ryûnosuke Kamiki
64,The Last Movie Star,2017,"An aging former movie star is forced to face the reality that his glory days are behind him. On its surface, the film is a tale about faded fame. At its core, it's a universal story about growing old.","An aging former movie star is forced to face the reality that his glory days are behind him. On its surface, the film is a tale about faded fame. At its core, it's a universal story about growing old.",Drama,tt5836316,94,1-f8O118hnE,6.8,https://hydramovies.com/wp-content/uploads/2018/04/The-Last-Movie-Star-Movie-Poster.jpg,Adam Rifkin,Adam Rifkin,Ariel Winter|Burt Reynolds|Clark Duke
65,Lucky,2017,"Lucky is an old US Navy veteran of rigid habits and attitudes in a small town. When his routine is interrupted by a sudden collapse at home, Lucky finds himself realizing that his remarkably healthy old age is going to face an inevitable decline and he has to accept it. In that difficult reassessment, Lucky must face up to what he believes in and how much it compares to his neighbors' priorities. In doing so, Lucky finds that his life has its positive side as he searches for some meaning that he can accept.",The spiritual journey of a ninety-year-old atheist.,Comedy|Drama,tt5859238,88,2KLLkj84GAo,7.4,https://hydramovies.com/wp-content/uploads/2018/04/Lucky-Movie-Poster.jpg,John Carroll Lynch,Logan Sparks,David Lynch|Harry Dean Stanton|Ron Livingston
66,Phantom Thread,2017,"Set in the glamour of 1950s post-war London, renowned dressmaker Reynolds Woodcock (Daniel Day-Lewis) and his sister Cyril (Lesley Manville) are at the center of British fashion, dressing royalty, movie stars, heiresses, socialites, debutants, and dames with the distinct style of The House of Woodcock. Women come and go through Woodcock's life, providing the confirmed bachelor with inspiration and companionship, until he comes across a young, strong-willed woman, Alma (Vicky Krieps), who soon becomes a fixture in his life as his muse and lover. Once controlled and planned, he finds his carefully tailored life disrupted by love.","Set in 1950's London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover.",Drama|Romance,tt5776858,130,asbg5u5j0YI,7.7,https://hydramovies.com/wp-content/uploads/2018/04/Phantom-Thread-Movie-Poster.jpg,Paul Thomas Anderson,Paul Thomas Anderson,Daniel Day-Lewis|Lesley Manville|Vicky Krieps
